,0,1,2,3,4,5,6,7
0,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
1, China ,"80,282", +131 ," 2,981 ",+38 ," 27,301 ","50,000 ","6,416 "
2, S. Korea ,"5,621", +435 , 35 ,+3 ," 5,545 ",41 ,27 
3, Italy ,"3,089", +587 , 107 ,+28 ," 2,706 ",276 ,295 
4, Iran ,"2,922", +586 , 92 ,+15 ," 2,278 ",552 , 
5, Diamond Princess ,706, , 6 , , 488 ,212 ,35 
6, Japan ,331, +38 , 6 , , 282 ,43 ,29 
7, Germany ,262, +59 , , , 246 ,16 ,2 
8, France ,257, +45 , 4 , , 241 ,12 ,10 
9, Spain ,210, +45 , 1 , , 207 ,2 ,3 
10, USA ,137, +13 , 9 , , 119 ,9 ,8 
11, Singapore ,110, , , , 32 ,78 ,7 
12, Hong Kong ,103, +2 , 2 , , 64 ,37 ,6 
13, Switzerland ,93, +35 , , , 90 ,3 , 
14, U.K. ,85, +34 , , , 77 ,8 , 
15, Kuwait ,56, , , , 56 , , 
16, Norway ,56, +23 , , , 56 , , 
17, Bahrain ,52, +3 , , , 51 ,1 , 
18, Australia ,50, +11 , 2 ,+1 , 27 ,21 ,1 
19, Malaysia ,50, +14 , , , 28 ,22 , 
20, Thailand ,43, , 1 , , 12 ,30 ,1 
21, Taiwan ,42, , 1 , , 29 ,12 , 
22, Netherlands ,38, +15 , , , 38 , ,1 
23, Iraq ,35, +3 , , , 35 , , 
24, Sweden ,35, +5 , , , 34 ,1 , 
25, Canada ,33, +3 , , , 26 ,7 , 
26, Austria ,29, +5 , , , 29 , , 
27, India ,28, +21 , , , 25 ,3 , 
28, U.A.E. ,27, , , , 22 ,5 ,2 
29, Iceland ,26, +12 , , , 25 ,1 , 
30, Belgium ,23, +8 , , , 22 ,1 ,1 
31, San Marino ,16, +6 , 1 , , 15 , ,3 
32, Vietnam ,16, , , , 0 ,16 , 
33, Israel ,15, +3 , , , 14 ,1 , 
34, Lebanon ,15, +2 , , , 15 , , 
35, Algeria ,12, +4 , , , 12 , , 
36, Oman ,12, , , , 10 ,2 , 
37, Macao ,10, , , , 1 ,9 , 
38, Denmark ,10, , , , 10 , , 
39, Ecuador ,10, +3 , , , 10 , ,1 
40, Croatia ,9, , , , 9 , , 
41, Greece ,9, +2 , , , 9 , , 
42, Czechia ,8, +3 , , , 8 , , 
43, Qatar ,8, , , , 8 , , 
44, Finland ,7, , , , 6 ,1 , 
45, Belarus ,6, +2 , , , 6 , , 
46, Mexico ,6, , , , 5 ,1 , 
47, Romania ,6, +2 , , , 5 ,1 , 
48, Pakistan ,5, , , , 5 , , 
49, Portugal ,5, +1 , , , 5 , , 
50, Philippines ,3, , 1 , , 0 ,2 , 
51, Azerbaijan ,3, , , , 3 , , 
52, Georgia ,3, , , , 3 , , 
53, Russia ,3, , , , 1 ,2 , 
54, Brazil ,2, , , , 2 , , 
55, Egypt ,2, , , , 1 ,1 , 
56, Estonia ,2, , , , 2 , , 
57, Indonesia ,2, , , , 2 , , 
58, Ireland ,2, , , , 2 , , 
59, New Zealand ,2, , , , 2 , , 
60, Senegal ,2, , , , 2 , , 
61, Hungary ,2, +2 , , , 2 , , 
62, Afghanistan ,1, , , , 1 , , 
63, Andorra ,1, , , , 1 , , 
64, Armenia ,1, , , , 1 , , 
65, Cambodia ,1, , , , 0 ,1 , 
66, Dominican Republic ,1, , , , 1 , , 
67, Jordan ,1, , , , 1 , , 
68, Latvia ,1, , , , 1 , , 
69, Lithuania ,1, , , , 1 , , 
70, Luxembourg ,1, , , , 1 , , 
71, North Macedonia ,1, , , , 1 , , 
72, Monaco ,1, , , , 1 , , 
73, Morocco ,1, , , , 1 , , 
74, Nepal ,1, , , , 0 ,1 , 
75, Nigeria ,1, , , , 1 , , 
76, Saudi Arabia ,1, , , , 1 , , 
77, Sri Lanka ,1, , , , 0 ,1 , 
78, Tunisia ,1, , , , 1 , , 
79, Ukraine ,1, , , , 1 , , 
80, Argentina ,1, , , , 1 , , 
81, Chile ,1, , , , 1 , , 
82, Faeroe Islands ,1, +1 , , , 1 , , 
83, Liechtenstein ,1, , , , 1 , , 
84, Poland ,1, +1 , , , 1 , , 
85,Total:,"95,067","2,165","3,249",85,"40,386","51,432","6,848"
